,route_id,from_stop_id,to_stop_id,min_transfer_time,from_route_id,to_route_id
229,11537_109,60191001005,60191001004,360.0,10154_109,11537_109
230,11537_109,60191001005,60191001004,360.0,10155_109,11537_109
231,11537_109,60191001005,60191001004,360.0,10229_109,11537_109
232,11537_109,60191001005,60191001004,360.0,11536_109,11537_109
233,11537_109,60191001005,60191001004,360.0,11537_109,11537_109
234,11537_109,60191001005,60191001005,60.0,10154_109,11537_109
235,11537_109,60191001005,60191001005,60.0,10155_109,11537_109
236,11537_109,60191001005,60191001005,60.0,10229_109,11537_109
237,11537_109,60191001005,60191001005,60.0,11536_109,11537_109
238,11537_109,60191001005,60191001005,60.0,11537_109,11537_109
239,11537_109,60192001003,60192001003,,10154_109,11537_109
240,11537_109,60192001003,60192001003,,10155_109,11537_109
241,11537_109,60192001003,60192001003,,10167_109,11537_109
242,11537_109,60192001003,60192001003,,10170_109,11537_109
243,11537_109,60192001003,60192001003,,10229_109,11537_109
244,11537_109,60192001003,60192001003,,10271_109,11537_109
245,11537_109,60192001003,60192001003,,11536_109,11537_109
246,11537_109,60192001003,60192001003,,11537_109,11537_109
247,11537_109,60192001003,60192001005,120.0,10154_109,11537_109
248,11537_109,60192001003,60192001005,120.0,10155_109,11537_109
249,11537_109,60192001003,60192001005,120.0,10167_109,11537_109
250,11537_109,60192001003,60192001005,120.0,10170_109,11537_109
251,11537_109,60192001003,60192001005,120.0,10229_109,11537_109
252,11537_109,60192001003,60192001005,120.0,10271_109,11537_109
253,11537_109,60192001003,60192001005,120.0,11536_109,11537_109
254,11537_109,60192001003,60192001005,120.0,11537_109,11537_109
255,11537_109,60192001004,60192001003,,10154_109,11537_109
256,11537_109,60192001004,60192001003,120.0,10229_109,11537_109
257,11537_109,60192001004,60192001003,,10271_109,11537_109
258,11537_109,60192001004,60192001005,120.0,10154_109,11537_109
259,11537_109,60192001004,60192001005,180.0,10229_109,11537_109
260,11537_109,60192001004,60192001005,120.0,10271_109,11537_109
261,11537_109,60192001005,60192001003,120.0,10154_109,11537_109
262,11537_109,60192001005,60192001003,120.0,10155_109,11537_109
263,11537_109,60192001005,60192001003,120.0,10167_109,11537_109
264,11537_109,60192001005,60192001003,120.0,10170_109,11537_109
265,11537_109,60192001005,60192001003,120.0,10229_109,11537_109
266,11537_109,60192001005,60192001003,120.0,10271_109,11537_109
267,11537_109,60192001005,60192001003,120.0,11536_109,11537_109
268,11537_109,60192001005,60192001003,120.0,11537_109,11537_109
269,11537_109,60192001005,60192001005,,10154_109,11537_109
270,11537_109,60192001005,60192001005,,10155_109,11537_109
271,11537_109,60192001005,60192001005,,10167_109,11537_109
272,11537_109,60192001005,60192001005,,10170_109,11537_109
273,11537_109,60192001005,60192001005,180.0,10229_109,11537_109
274,11537_109,60192001005,60192001005,,10271_109,11537_109
275,11537_109,60192001005,60192001005,,11536_109,11537_109
276,11537_109,60192001005,60192001005,,11537_109,11537_109
277,11537_109,60192001006,60192001003,120.0,10167_109,11537_109
278,11537_109,60192001006,60192001005,,10167_109,11537_109
279,11537_109,60058101501,60058100531,300.0,10143_109,11537_109
280,11537_109,60058101501,60058100531,300.0,10144_109,11537_109
281,11537_109,60058101501,60058100531,300.0,10145_109,11537_109
282,11537_109,60058101501,60058100531,300.0,10278_109,11537_109
283,11537_109,60058101501,60058100532,300.0,10143_109,11537_109
284,11537_109,60058101501,60058100532,300.0,10144_109,11537_109
285,11537_109,60058101501,60058100532,300.0,10145_109,11537_109
286,11537_109,60058101501,60058100532,300.0,10278_109,11537_109
287,11537_109,60058101502,60058100531,240.0,10142_109,11537_109
288,11537_109,60058101502,60058100531,300.0,10143_109,11537_109
289,11537_109,60058101502,60058100531,300.0,10144_109,11537_109
290,11537_109,60058101502,60058100531,300.0,10145_109,11537_109
291,11537_109,60058101502,60058100531,300.0,10278_109,11537_109
292,11537_109,60058101502,60058100532,120.0,10142_109,11537_109
293,11537_109,60058101502,60058100532,300.0,10143_109,11537_109
294,11537_109,60058101502,60058100532,300.0,10144_109,11537_109
295,11537_109,60058101502,60058100532,300.0,10145_109,11537_109
296,11537_109,60058101502,60058100532,300.0,10278_109,11537_109
297,11537_109,60058100531,60058100531,,10154_109,11537_109
298,11537_109,60058100531,60058100531,,10155_109,11537_109
299,11537_109,60058100531,60058100531,,10223_109,11537_109
300,11537_109,60058100531,60058100531,,10224_109,11537_109
301,11537_109,60058100531,60058100531,,11537_109,11537_109
302,11537_109,60058100531,60058100532,,10154_109,11537_109
303,11537_109,60058100531,60058100532,,10155_109,11537_109
304,11537_109,60058100531,60058100532,,10223_109,11537_109
305,11537_109,60058100531,60058100532,,10224_109,11537_109
306,11537_109,60058100531,60058100532,,11537_109,11537_109
307,11537_109,60058100532,60058100531,,10154_109,11537_109
308,11537_109,60058100532,60058100531,,10155_109,11537_109
309,11537_109,60058100532,60058100531,,10226_109,11537_109
310,11537_109,60058100532,60058100531,,10227_109,11537_109
311,11537_109,60058100532,60058100531,,11537_109,11537_109
312,11537_109,60058100532,60058100532,,10154_109,11537_109
313,11537_109,60058100532,60058100532,,10155_109,11537_109
314,11537_109,60058100532,60058100532,,10226_109,11537_109
315,11537_109,60058100532,60058100532,,10227_109,11537_109
316,11537_109,60058100532,60058100532,,11537_109,11537_109
317,11537_109,60186001811,60186001811,,10155_109,11537_109
318,11537_109,60186001811,60186001811,,10167_109,11537_109
319,11537_109,60186001811,60186001811,,11536_109,11537_109
320,11537_109,60186001811,60186001811,,11537_109,11537_109
321,11537_109,60186001811,60186001812,,10155_109,11537_109
322,11537_109,60186001811,60186001812,,10167_109,11537_109
323,11537_109,60186001811,60186001812,,11536_109,11537_109
324,11537_109,60186001811,60186001812,,11537_109,11537_109
325,11537_109,60186001811,60186001814,120.0,10155_109,11537_109
326,11537_109,60186001811,60186001814,120.0,10167_109,11537_109
327,11537_109,60186001811,60186001814,120.0,11536_109,11537_109
328,11537_109,60186001811,60186001814,120.0,11537_109,11537_109
329,11537_109,60186001812,60186001811,,10154_109,11537_109
330,11537_109,60186001812,60186001811,,10155_109,11537_109
331,11537_109,60186001812,60186001811,,10167_109,11537_109
332,11537_109,60186001812,60186001811,,10271_109,11537_109
333,11537_109,60186001812,60186001811,,11536_109,11537_109
334,11537_109,60186001812,60186001811,,11537_109,11537_109
335,11537_109,60186001812,60186001812,,10154_109,11537_109
336,11537_109,60186001812,60186001812,,10155_109,11537_109
337,11537_109,60186001812,60186001812,,10167_109,11537_109
338,11537_109,60186001812,60186001812,,10271_109,11537_109
339,11537_109,60186001812,60186001812,,11536_109,11537_109
340,11537_109,60186001812,60186001812,,11537_109,11537_109
341,11537_109,60186001812,60186001814,120.0,10154_109,11537_109
342,11537_109,60186001812,60186001814,120.0,10155_109,11537_109
343,11537_109,60186001812,60186001814,120.0,10167_109,11537_109
344,11537_109,60186001812,60186001814,120.0,10271_109,11537_109
345,11537_109,60186001812,60186001814,120.0,11536_109,11537_109
346,11537_109,60186001812,60186001814,120.0,11537_109,11537_109
347,11537_109,60186001813,60186001811,120.0,10154_109,11537_109
348,11537_109,60186001813,60186001811,120.0,10155_109,11537_109
349,11537_109,60186001813,60186001811,120.0,10167_109,11537_109
350,11537_109,60186001813,60186001811,120.0,11536_109,11537_109
351,11537_109,60186001813,60186001812,120.0,10154_109,11537_109
352,11537_109,60186001813,60186001812,120.0,10155_109,11537_109
353,11537_109,60186001813,60186001812,120.0,10167_109,11537_109
354,11537_109,60186001813,60186001812,120.0,11536_109,11537_109
355,11537_109,60186001813,60186001814,,10154_109,11537_109
356,11537_109,60186001813,60186001814,,10155_109,11537_109
357,11537_109,60186001813,60186001814,,10167_109,11537_109
358,11537_109,60186001813,60186001814,,11536_109,11537_109
359,11537_109,60186001814,60186001811,120.0,10154_109,11537_109
360,11537_109,60186001814,60186001811,120.0,10155_109,11537_109
361,11537_109,60186001814,60186001811,120.0,10167_109,11537_109
362,11537_109,60186001814,60186001811,120.0,11537_109,11537_109
363,11537_109,60186001814,60186001812,120.0,10154_109,11537_109
364,11537_109,60186001814,60186001812,120.0,10155_109,11537_109
365,11537_109,60186001814,60186001812,120.0,10167_109,11537_109
366,11537_109,60186001814,60186001812,120.0,11537_109,11537_109
367,11537_109,60186001814,60186001814,,10154_109,11537_109
368,11537_109,60186001814,60186001814,,10155_109,11537_109
369,11537_109,60186001814,60186001814,,10167_109,11537_109
370,11537_109,60186001814,60186001814,,11537_109,11537_109
371,11536_109,60078201461,60078201462,60.0,10223_109,11536_109
372,11536_109,60078201461,60078201462,60.0,10224_109,11536_109
373,11536_109,60191001003,60191001004,360.0,10167_109,11536_109
374,11536_109,60191001003,60191001004,360.0,10170_109,11536_109
375,11536_109,60191001003,60191001004,360.0,10271_109,11536_109
376,11536_109,60191001003,60191001004,360.0,12003_109,11536_109
377,11536_109,60191001003,60191001005,60.0,10167_109,11536_109
378,11536_109,60191001003,60191001005,60.0,10170_109,11536_109
379,11536_109,60191001003,60191001005,60.0,10271_109,11536_109
380,11536_109,60191001003,60191001005,60.0,12003_109,11536_109
381,11536_109,60191001004,60191001004,60.0,10154_109,11536_109
382,11536_109,60191001004,60191001004,60.0,10155_109,11536_109
383,11536_109,60191001004,60191001004,60.0,10167_109,11536_109
384,11536_109,60191001004,60191001004,60.0,10170_109,11536_109
385,11536_109,60191001004,60191001004,60.0,10229_109,11536_109
386,11536_109,60191001004,60191001004,60.0,10271_109,11536_109
387,11536_109,60191001004,60191001004,60.0,11536_109,11536_109
388,11536_109,60191001004,60191001004,60.0,11537_109,11536_109
389,11536_109,60191001004,60191001004,60.0,12003_109,11536_109
390,11536_109,60191001004,60191001005,360.0,10154_109,11536_109
391,11536_109,60191001004,60191001005,360.0,10155_109,11536_109
392,11536_109,60191001004,60191001005,360.0,10167_109,11536_109
393,11536_109,60191001004,60191001005,360.0,10170_109,11536_109
394,11536_109,60191001004,60191001005,360.0,10229_109,11536_109
395,11536_109,60191001004,60191001005,360.0,10271_109,11536_109
396,11536_109,60191001004,60191001005,360.0,11536_109,11536_109
397,11536_109,60191001004,60191001005,360.0,11537_109,11536_109
398,11536_109,60191001004,60191001005,360.0,12003_109,11536_109
399,11536_109,60191001005,60191001004,360.0,10154_109,11536_109
400,11536_109,60191001005,60191001004,360.0,10155_109,11536_109
401,11536_109,60191001005,60191001004,360.0,10229_109,11536_109
402,11536_109,60191001005,60191001004,360.0,11536_109,11536_109
403,11536_109,60191001005,60191001004,360.0,11537_109,11536_109
404,11536_109,60191001005,60191001005,60.0,10154_109,11536_109
405,11536_109,60191001005,60191001005,60.0,10155_109,11536_109
406,11536_109,60191001005,60191001005,60.0,10229_109,11536_109
407,11536_109,60191001005,60191001005,60.0,11536_109,11536_109
408,11536_109,60191001005,60191001005,60.0,11537_109,11536_109
409,11536_109,60192001003,60192001003,,10154_109,11536_109
410,11536_109,60192001003,60192001003,,10155_109,11536_109
411,11536_109,60192001003,60192001003,,10167_109,11536_109
412,11536_109,60192001003,60192001003,,10170_109,11536_109
413,11536_109,60192001003,60192001003,,10229_109,11536_109
414,11536_109,60192001003,60192001003,,10271_109,11536_109
415,11536_109,60192001003,60192001003,,11536_109,11536_109
416,11536_109,60192001003,60192001003,,11537_109,11536_109
417,11536_109,60192001003,60192001005,120.0,10154_109,11536_109
418,11536_109,60192001003,60192001005,120.0,10155_109,11536_109
419,11536_109,60192001003,60192001005,120.0,10167_109,11536_109
420,11536_109,60192001003,60192001005,120.0,10170_109,11536_109
421,11536_109,60192001003,60192001005,120.0,10229_109,11536_109
422,11536_109,60192001003,60192001005,120.0,10271_109,11536_109
423,11536_109,60192001003,60192001005,120.0,11536_109,11536_109
424,11536_109,60192001003,60192001005,120.0,11537_109,11536_109
425,11536_109,60192001004,60192001003,,10154_109,11536_109
426,11536_109,60192001004,60192001003,120.0,10229_109,11536_109
427,11536_109,60192001004,60192001003,,10271_109,11536_109
428,11536_109,60192001004,60192001005,120.0,10154_109,11536_109
429,11536_109,60192001004,60192001005,180.0,10229_109,11536_109
