,stop_id,stop_name,stop_lat,stop_lon
115497,60171003099,S Springpfuhl ,52.525806,13.536904
116024,60171002099,S Friedrichsfelde Ost ,52.513747,13.520043
116551,60160004099,S+U Lichtenberg Bhf ,52.510754,13.498228
117078,60160003099,S Nöldnerplatz ,52.503444,13.484297
117605,60160001099,S Rummelsburg ,52.501213,13.478699
118132,60120003099,S Ostkreuz Bhf ,52.502851,13.469093
118439,60000151008,"Berlin, Grevesmühlener Str.",52.567875,13.51401
118598,60176001099,S Mahlsdorf  ,52.51192,13.612563
118757,60320026099,S Birkenstein,52.515755,13.648591
118916,60320008099,S Hoppegarten,52.518141,13.673889
119075,60320007099,S Neuenhagen,52.520674,13.699994
119234,60320006099,S Fredersdorf,52.526461,13.761324
119393,60320005099,S Petershagen Nord,52.529185,13.790627
119552,60320004099,S Strausberg Bhf,52.532364,13.834793
119711,60000320550,"Strausberg, Am Annatal",52.550111,13.863238
119870,60320002099,S Strausberg Stadt,52.57745,13.888254
120029,60320001099,S Strausberg Nord,52.5907,13.908894
120263,60094101121,S Waidmannslust ,52.606814,13.320549
120492,60093201131,S Hermsdorf ,52.618165,13.306804
120749,60092201132,S Frohnau ,52.632958,13.289564
120974,60092201131,S Frohnau ,52.632958,13.289564
121345,60200009003,S Hohen Neuendorf,52.669438,13.287223
121713,60200008004,S Birkenwerder Bhf,52.687867,13.288418
121879,60200007101,S Borgsdorf,52.714491,13.276771
122045,60200006101,S Lehnitz,52.741273,13.263191
122344,60200005030,S Oranienburg Bhf,52.754362,13.248432
122393,60200005032,S Oranienburg Bhf,52.754362,13.248432
122710,60200008006,S Birkenwerder Bhf,52.687867,13.288418
122892,60200006102,S Lehnitz,52.741273,13.263191
123074,60200007102,S Borgsdorf,52.714491,13.276771
123388,60200009004,S Hohen Neuendorf,52.669438,13.287223
123641,60093201132,S Hermsdorf ,52.618165,13.306804
124189,60053301434,S Wannsee Bhf ,52.421457,13.179099
124419,60052200882,S Nikolassee ,52.43121,13.193298
124649,60050355872,S Schlachtensee ,52.439806,13.213986
124879,60050301872,S Mexikoplatz ,52.437166,13.23206
125172,60049201862,S Zehlendorf ,52.431209,13.259227
125448,60049202852,S Sundgauer Str. ,52.436187,13.273501
