station_name,latitude,longitude,district_name,station_link
Vinetastraße,52.55916666666667,13.413333333333334,Pankow,https://de.wikipedia.org/wiki/U-Bahnhof_Vinetastra%C3%9Fe
Voltastraße,52.54222222222222,13.393055555555556,Gesundbrunnen,https://de.wikipedia.org/wiki/U-Bahnhof_Voltastra%C3%9Fe
Walther-Schreiber-Platz,52.465,13.331666666666667,Friedenau,https://de.wikipedia.org/wiki/U-Bahnhof_Walther-Schreiber-Platz
Warschauer Straße,52.50527777777778,13.449166666666667,Friedrichshain,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Warschauer_Stra%C3%9Fe
Weberwiese,52.516666666666666,13.445,Friedrichshain,https://de.wikipedia.org/wiki/U-Bahnhof_Weberwiese
Wedding,52.5425,13.366111111111111,Wedding,https://de.wikipedia.org/wiki/Bahnhof_Berlin-Wedding
Weinmeisterstraße,52.525555555555556,13.405,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Weinmeisterstra%C3%9Fe
Westhafen,52.53638888888889,13.34388888888889,Moabit,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Westhafen
Westphalweg,52.44638888888889,13.385555555555555,Mariendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Westphalweg
Wilmersdorfer Straße,52.50666666666667,13.306666666666667,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Wilmersdorfer_Stra%C3%9Fe
Wittenau,52.59583333333333,13.336666666666666,Wittenau,https://de.wikipedia.org/wiki/Bahnhof_Berlin-Wittenau
Wittenbergplatz,52.50194444444445,13.343055555555555,Schöneberg,https://de.wikipedia.org/wiki/U-Bahnhof_Wittenbergplatz
Wuhletal,52.5125,13.575,Kaulsdorf,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Wuhletal
Wutzkyallee,52.42333333333333,13.474722222222223,Gropiusstadt,https://de.wikipedia.org/wiki/U-Bahnhof_Wutzkyallee
Yorckstraße,52.49305555555556,13.370833333333334,Schöneberg,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Yorckstra%C3%9Fe
Zitadelle,52.53777777777778,13.217777777777778,Haselhorst,https://de.wikipedia.org/wiki/U-Bahnhof_Zitadelle
Zoologischer Garten,52.507222222222225,13.3325,Charlottenburg,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Zoologischer_Garten
Zwickauer Damm,52.42333333333333,13.483888888888888,Gropiusstadt,https://de.wikipedia.org/wiki/U-Bahnhof_Zwickauer_Damm
